flarea,bdrms,bthrms,price
497,4,5,975
83.6,3,1,195
144.2,4,3,495
97.5,3,2,225
71.2,3,1,195
158,5,2,279
118.7,3,2,380
170,4,4,530
97.5,3,2,225
123.6,4,2,260
137.5,5,2,230
48.3,1,1,125
197.9,4,3,350
102,3,1,149
122.6,3,3,220
148,4,2,300
465,6,6,675
232.3,5,2,475
101.9,3,3,180
60,3,1,140
81.8,4,2,135
70,2,1,85
102.2,3,3,210
325.2,4,3,680
83.6,2,2,198
120.8,4,2,330
112.4,3,2,225
185.8,5,2,530
115.2,4,2,385
66.9,3,1,155
78,3,1,250
115.9,3,2,265
65,2,2,150
92.9,4,1,175
90,2,2,150
120,4,2,100
117,2,3,225
164.4,4,3,345
112.4,3,2,225
222,5,4,590
241,4,3,995
69.7,3,1,195
80.7,3,1,190
95,3,3,250
86.5,3,3,185
154,4,3,320
92.9,4,2,225
90,3,2,200
92.2,3,1,149
60,1,1,90
84.4,2,3,205
88,3,1,115
124,4,1,275
66,2,1,135
169.5,4,2,350
97.5,3,3,225
57,2,1,140
106,4,2,295
67,2,2,150
141,4,3,325
478.5,10,10,975
210,4,3,630
60,2,1,155
146,5,1,375
58,3,1,160
130,4,1,350
102,3,1,250
167.2,4,2,360
78.5,3,1,155
92.9,3,2,197
185.8,4,3,545
70,2,1,130
51.1,1,1,95
65,2,1,70
93.9,2,2,115
131.5,3,2,295
153.3,5,3,375
79,2,2,225
124.5,4,2,180
88,3,3,175
153.3,4,3,385
51.1,2,1,155
85,4,1,120
94.2,3,2,170
65,2,2,130
81,3,1,255
79,2,2,135
209,6,4,470
92.9,5,2,195
88,3,1,195
65,2,1,75
176.5,4,3,275
88.7,3,3,190
150.6,3,1,290
65,2,1,115
83.5,3,1,120
41,2,1,150
69.7,3,1,90
88.3,3,1,275
65.4,2,2,140
148.6,4,4,299
97,3,1,265
109,3,3,180
232,4,4,795
70,2,2,195
125.8,4,3,235
97,3,1,265
183.9,5,2,370
203.5,5,3,535
51.1,2,1,60
138.6,4,2,350
83.6,3,1,165
130.1,4,2,345
106.8,3,2,180
128.9,3,3,250
81.2,3,1,110
492.4,4,3,3800
43.2,2,1,130
158,6,3,240
99.3,3,1,220
492.4,4,4,3800
102.2,3,3,295
207.8,6,3,625
98,3,2,225
185,5,2,395
120,3,4,195
111.5,4,3,255
41.8,1,1,100
279.2,5,2,360
371.6,5,5,825
58.3,2,2,165
110.9,3,3,230
92.9,3,1,190
203.5,5,3,535
124.5,4,3,220
125,3,1,295
125,3,1,295
70,2,2,150
69.7,3,1,80
65,2,2,95
134.7,3,2,245
138.5,4,3,275
86.6,3,2,179
108,3,1,255
105,4,3,195
88,3,2,185
139.4,3,2,240
119,3,3,240
74.3,3,1,230
204.4,4,2,480
185.8,4,1,385
65,2,1,165
246,6,3,465
178,5,3,535
260,5,4,695
104.8,4,3,169
224,3,6,350
86,3,1,175
228,5,4,585
127.3,4,1,265
111,3,2,205
130.1,3,2,275
61.2,2,1,120
65,3,1,135
134.7,5,2,285
109,3,2,290
223,4,4,265
95,4,1,150
106,3,1,220
195,4,3,490
69.7,2,1,175
111.5,4,3,380
102.3,3,1,360
204.4,8,5,245
80,3,2,99
50,2,1,70
185.8,8,5,225
228.1,5,4,585
77.8,3,2,220
53,2,1,155
44,1,1,105
89,3,1,185
102.2,3,2,300
51,3,1,55
154.2,4,1,225
66.5,3,1,190
128,4,1,400
158,4,2,250
185.8,4,1,280
60.4,2,1,120
190.5,4,3,550
218,5,3,590
140,4,2,280
108,3,2,250
92.9,3,3,195
118,3,2,195
111.5,3,2,215
161,3,2,350
102.2,5,2,175
130.1,4,2,235
88.3,3,2,193
66,2,2,99
232.3,4,3,400
139.4,4,2,390
224,6,3,495
141,4,2,325
73.4,3,1,80
319.8,4,5,479
408.8,7,4,950
111.5,3,2,275
65,2,2,150
93,3,1,220
91,3,1,220
255.5,5,3,650
223,4,3,265
213.7,4,3,549
99,3,1,150
92.9,3,3,225
116.9,4,3,260
139.4,4,3,265
110,4,1,185
312.8,3,2,295
62.8,3,1,95
92.9,3,2,220
