lect,lab,cao,outcome
92,95,490,1
63,73,465,1
78,86,530,1
98,95,380,1
88,100,470,1
68,95,370,1
94,100,470,1
85,77,360,1
98,77,375,1
83,95,450,1
100,86,515,1
95,100,510,1
94,100,460,1
68,59,315,0
69,73,500,1
68,82,325,0
94,82,450,0
83,77,355,1
95,91,495,1
82,59,520,0
92,82,350,1
92,95,360,1
71,48,410,0
91,95,440,1
51,50,390,0
49,36,340,0
54,64,390,0
97,95,350,1
32,27,315,0
68,45,320,0
83,73,450,0
92,95,400,1
75,95,490,1
95,77,345,1
92,95,440,1
77,59,375,0
95,95,445,1
92,32,330,1
97,95,425,1
95,77,335,1
72,55,415,0
100,100,335,0
75,91,395,1
80,91,370,1
95,100,470,1
17,14,425,0
78,100,380,0
2,0,315,0
68,40,365,0
100,91,395,1
74,59,360,0
89,45,385,0
74,77,405,1
71,73,490,1
80,95,330,1
85,77,340,0
37,36,335,0
91,68,380,0
86,91,340,1
91,82,400,1
88,95,315,1
83,77,415,0
2,0,400,0
80,73,400,1
72,73,320,1
80,91,300,1
69,69,285,1
69,77,300,0
74,86,400,1
100,91,365,0
97,100,340,1
96,91,340,1
8,14,310,0
97,100,350,1
100,98,425,0
55,82,340,0
73,91,495,1
82,91,370,1
49,68,375,0
88,93,405,0
99,100,400,1
77,95,430,1
99,100,510,1
97,95,500,1
73,100,430,1
76,100,395,1
83,93,405,1
96,95,395,0
99,100,425,1
89,82,330,0
77,82,385,0
74,82,440,1
94,95,410,1
94,81,390,0
50,50,330,0
97,100,340,1
53,95,500,1
99,100,360,1
83,75,330,1
94,95,455,1
44,73,415,1
92,95,315,0
97,95,545,1
94,95,425,1
94,91,415,1
92,100,540,1
68,95,400,1
88,90,430,1
79,82,335,1
97,95,450,1
83,77,485,0
97,100,360,1
82,73,375,0
89,82,400,1
100,100,355,1
9,9,310,0
97,95,375,1
91,91,465,1
100,91,420,1
39,50,480,1
100,91,365,1
99,95,365,1
86,86,340,1
3,5,325,0
97,91,495,1
97,86,440,1
100,100,490,1
99,100,360,1
91,91,500,1
99,91,335,1
56,73,390,0
99,100,445,1
99,95,355,1
97,100,350,1
83,89,415,1
91,98,510,1
92,95,505,1
76,64,415,0
80,73,370,1
89,95,535,1
77,86,400,1
30,27,395,0
59,68,385,0
94,100,395,1
97,100,475,1
89,82,390,0
85,77,365,0
94,91,355,1
97,86,355,1
88,86,465,0
92,100,455,1
99,98,385,1
100,98,305,1
59,59,410,0
100,100,390,1
99,95,340,0
91,91,415,1
99,100,460,1
57,43,365,0
89,91,440,1
96,91,515,1
49,45,405,0
92,95,465,1
67,68,420,0
62,82,330,0
97,94,385,0
94,86,410,1
89,100,525,1
87,100,495,1
76,77,375,0
84,77,215,1
70,73,420,0
90,100,435,1
62,73,420,0
57,59,375,0
95,86,345,1
71,77,440,0
92,86,410,1
10,9,400,0
86,91,375,1
65,82,425,1
100,91,420,1
97,91,535,1
76,68,345,0
0,0,390,0
67,60,340,0
87,91,485,1
24,32,360,0
97,100,415,1
86,73,350,0
43,59,260,0
100,100,410,1
92,95,380,1
67,95,400,1
92,91,535,1
100,100,340,0
92,95,390,0
100,91,320,0
62,75,355,0
60,77,360,0
94,100,360,1
95,100,440,1
68,82,415,1
98,82,340,1
98,100,415,0
98,86,445,1
44,64,350,1
84,73,355,0
92,100,380,1
90,95,330,1
78,82,345,0
65,77,335,0
57,68,405,0
75,80,435,0
95,91,380,1
87,86,410,0
70,91,390,1
35,41,385,0
98,100,390,1
57,95,520,1
78,82,365,1
100,100,420,0
41,41,350,0
98,100,405,1
92,89,435,0
95,89,495,1
16,14,350,0
27,18,360,0
100,100,425,1
65,95,365,0
54,73,365,0
89,95,345,0
97,95,440,1
81,86,500,1
89,50,380,1
5,14,405,0
78,95,370,0
100,100,540,1
57,82,305,0
83,77,405,0
89,90,430,1
63,68,340,0
71,82,370,0
68,64,455,0
83,86,400,1
97,100,360,1
51,73,370,1
98,100,485,1
83,95,400,1
100,100,535,1
98,100,360,1
73,73,420,1
89,91,400,0
83,68,415,1
90,82,365,0
98,100,435,1
90,95,430,0
19,23,350,0
76,73,360,0
92,99,510,1
100,95,425,1
48,36,430,0
100,100,410,1
68,59,340,0
81,86,420,1
97,91,540,1
98,100,535,1
83,91,370,1
85,80,370,0
98,100,585,1
52,36,355,0
97,100,400,1
92,86,410,1
83,93,375,1
63,82,420,1
83,86,525,1
39,41,300,0
2,0,415,0
92,95,350,1
55,86,360,0
50,50,310,0
80,73,370,0
69,77,370,1
86,51,330,0
69,45,340,0
9,14,335,0
64,75,420,1
91,91,330,0
97,86,455,1
95,95,335,1
75,75,430,1
70,73,385,0
83,86,335,0
83,77,340,0
84,64,335,1
30,45,340,0
6,9,405,0
88,89,340,1
95,100,500,1
83,66,345,1
100,100,375,1
84,77,350,0
73,77,365,1
94,100,400,0
94,95,340,0
69,91,440,1
95,95,400,1
91,95,400,1
92,100,325,1
98,95,260,0
98,95,370,1
89,84,485,1
94,91,400,0
92,82,315,1
0,0,405,0
94,91,305,1
97,100,455,1
86,68,380,1
44,45,340,0
45,50,360,0
45,50,315,0
77,64,345,0
95,95,320,1
81,70,320,0
97,95,375,0
89,82,360,1
81,73,365,1
97,93,375,1
75,86,355,0
81,91,480,1
89,86,365,1
97,91,355,0
97,95,410,1
72,77,310,0
94,100,410,1
83,100,340,1
53,41,370,0
53,50,340,0
100,100,335,1
84,82,480,1
83,77,485,1
91,100,320,1
